                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.0038,                0.88121,                 1.1754,                0.48377,                0.47549,                 0.4558,                0.30218,                 1.2388,                 1.4881,                 1.3467,              0.0071714,              0.0071714,              0.0071714
                    102,                 1.0106,                0.89326,                 1.1799,                0.52194,                0.45161,                0.44905,                0.29349,                 1.2605,                 1.4848,                 1.3634,              0.0071431,              0.0071431,              0.0071431
                    103,                0.97545,                  0.876,                 1.1675,                0.49346,                0.44365,                0.43781,                0.28737,                 1.2754,                 1.5427,                 1.3792,              0.0071149,              0.0071149,              0.0071149
                    104,                0.99886,                0.89785,                 1.1777,                0.51278,                 0.4491,                0.45069,                0.30136,                 1.2626,                 1.4907,                 1.3637,              0.0070866,              0.0070866,              0.0070866
                    105,                 1.0054,                0.89526,                 1.1858,                0.50568,                0.46921,                0.45429,                0.29521,                 1.2593,                 1.4588,                 1.3638,              0.0070583,              0.0070583,              0.0070583
                    106,                0.98697,                0.87341,                 1.1726,                0.51487,                0.43929,                0.43739,                 0.2877,                 1.2661,                 1.5087,                 1.3628,                0.00703,                0.00703,                0.00703
                    107,                0.99591,                0.87307,                 1.1736,                0.50706,                 0.4555,                0.44939,                0.29569,                  1.261,                 1.5141,                 1.3599,              0.0070017,              0.0070017,              0.0070017
                    108,                0.98722,                 0.8813,                 1.1706,                0.46908,                 0.4977,                0.44891,                0.29522,                 1.2586,                 1.5038,                 1.3613,              0.0069734,              0.0069734,              0.0069734
                    109,                0.97213,                0.87005,                   1.17,                 0.4908,                0.46418,                0.44493,                0.29493,                 1.2588,                 1.5266,                 1.3831,              0.0069451,              0.0069451,              0.0069451
                    110,                0.98142,                0.85205,                 1.1691,                0.51171,                0.46669,                0.43994,                0.28946,                 1.2558,                  1.524,                 1.3763,              0.0069169,              0.0069169,              0.0069169
                    111,                0.97543,                0.85319,                 1.1626,                0.49244,                 0.4601,                0.44241,                 0.2901,                 1.2599,                 1.5159,                 1.3771,              0.0068886,              0.0068886,              0.0068886
                    112,                0.97107,                0.86069,                 1.1723,                0.50182,                0.46167,                0.44483,                0.29571,                 1.2577,                 1.4982,                 1.3763,              0.0068603,              0.0068603,              0.0068603
                    113,                0.98634,                0.84798,                 1.1681,                0.50785,                 0.4579,                0.44287,                0.29064,                 1.2889,                 1.5442,                  1.384,               0.006832,               0.006832,               0.006832
                    114,                0.97218,                0.84765,                 1.1549,                0.54769,                0.43373,                0.44589,                0.29445,                 1.2738,                 1.4929,                 1.3853,              0.0068037,              0.0068037,              0.0068037
