                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 0.9078,                 0.7438,                 1.0938,                0.59414,                0.45145,                 0.4661,                0.32405,                  1.282,                 1.7166,                 1.3844,              0.0068073,              0.0068073,              0.0068073
                    131,                0.88163,                0.72863,                 1.0847,                0.54225,                 0.4846,                0.47475,                0.32972,                 1.2761,                 1.7177,                 1.3747,              0.0067825,              0.0067825,              0.0067825
                    132,                0.91116,                0.73226,                 1.0907,                0.51804,                0.50035,                0.47749,                0.33229,                 1.2748,                  1.686,                 1.3642,              0.0067577,              0.0067577,              0.0067577
                    133,                0.90355,                0.72243,                 1.0922,                0.56947,                0.46306,                0.46578,                0.32323,                 1.2707,                 1.7441,                 1.3706,               0.006733,               0.006733,               0.006733
                    134,                0.89728,                0.71989,                 1.0882,                0.54297,                0.45778,                0.46374,                0.32417,                 1.2739,                 1.7663,                 1.3716,              0.0067082,              0.0067082,              0.0067082
                    135,                 0.8791,                0.71321,                 1.0835,                 0.5516,                0.44544,                0.45628,                0.31995,                 1.2772,                 1.7786,                 1.3838,              0.0066835,              0.0066835,              0.0066835
                    136,                0.88034,                0.72154,                 1.0869,                0.55047,                0.46161,                0.46797,                0.32386,                 1.2684,                 1.7382,                 1.3722,              0.0066587,              0.0066587,              0.0066587
                    137,                0.89805,                0.71492,                 1.0913,                0.52296,                0.48445,                0.45993,                0.31599,                 1.2719,                 1.7181,                  1.367,               0.006634,               0.006634,               0.006634
                    138,                0.88009,                 0.7123,                 1.0836,                0.54605,                0.45994,                0.46633,                0.32475,                 1.2724,                 1.7229,                 1.3696,              0.0066092,              0.0066092,              0.0066092
                    139,                0.88906,                0.72451,                 1.0855,                0.53476,                0.46667,                0.46816,                0.32605,                 1.2635,                  1.694,                 1.3602,              0.0065845,              0.0065845,              0.0065845
                    140,                0.89518,                0.73561,                 1.0934,                0.53493,                0.45903,                0.46068,                 0.3234,                 1.2772,                 1.7022,                 1.3794,              0.0065598,              0.0065598,              0.0065598
